,id_prodotto,descrizione,cat1,cat2,cat3,iva,pzxcar,um,costo,prezzo_vendita,brand
3738,COD_4A5BBEC435,muu muu mini fr,FRESCHI,FRESCHI DOLCI,DESSERT FRESCHI,10,3.0,PZ,1.36,2.49,B019
3740,COD_58B09026A7,tav. 90gr noci ,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,8.0,PZ,2.25,3.09,B023
3741,COD_52F2312230,tav. 90gr caram,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,8.0,PZ,2.35,3.19,B023
3750,COD_1039FD8F73,galbanetto brea,GASTRONOMIA,SALUMI TAKE AWAY,"SALAME, SALSICCE, SOPPRESSATE",10,10.0,PZ,2.81,4.19,B040
3754,COD_56F88B492A,mini basi 160g,FRESCHI,ALTRI PRODOTTI FRESCHI,BASI,10,16.0,PZ,1.14,1.69,B020
3755,COD_8E4454A6EA,sgrass. 700ml p,CURA CASA,DETERGENTI SUPERFICI,PICCOLE SUPERFICI,22,8.0,PZ,5.6,7.39,B086
3756,COD_6458A98F5E,sgrass. 700ml f,CURA CASA,DETERGENTI SUPERFICI,PICCOLE SUPERFICI,22,8.0,PZ,5.6,7.39,B086
3757,COD_808A97147E,sgrass. 700ml a,CURA CASA,DETERGENTI SUPERFICI,PICCOLE SUPERFICI,22,8.0,PZ,5.6,7.39,B086
3759,COD_72E274AF24,pods 60 lav pro,CURA CASA,DETERGENZA BUCATO,BUCATO LAVATRICE/BIVALENTI CON AMMORBIDENTE,22,2.0,PZ,11.92,20.4,B081
3760,COD_B438013298,tav.exc.fusion ,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,20.0,PZ,3.4,4.79,B027
3761,COD_70AEE0C0EE,tav.exc.fusion ,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,20.0,PZ,2.2,3.59,B027
3762,COD_1233CD9387,tav.exc.fusion ,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,20.0,PZ,3.3,4.69,B027
3763,COD_AA49596FD9,tav.lindor tira,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,18.0,PZ,3.03,4.29,B027
3764,COD_BA1E634D76,bag lindor latt,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,PRALINE E CIOCCOLATINI,10,12.0,PZ,2.9,4.99,B027
3765,COD_68CF5B1837,bag lindor fond,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,PRALINE E CIOCCOLATINI,10,12.0,PZ,4.0,6.09,B027
3766,COD_A82480CE59,bag chocowafer ,SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,8.0,PZ,4.2,5.89,B027
3777,COD_44BEB0D444,fusilli protein,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,14.0,PZ,1.22,1.89,B001
3778,COD_0FB5AE94EB,penne rigate pr,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,14.0,PZ,2.12,2.79,B001
3779,COD_3B239FED80,spaghetti prote,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.82,2.49,B001
3788,COD_E2EDCF674B,carta ig. 4 rot,CURA PERSONA,IGIENICO SANITARI - COTONE E CARTA,CARTA IGIENICA,22,6.0,PZ,2.34,4.19,B091
3789,COD_8BD6B26FC5,caps.allum.nesp,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,3.0,PZ,6.44,10.5,B080
3793,COD_023C878D1F,caps.allum.nesp,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,3.0,PZ,6.24,10.3,B080
3794,COD_844104F0CA,caps.all.nespre,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,3.0,PZ,6.34,10.4,B080
3796,COD_17EF2BBA24,duo x12 150g,SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,12.0,PZ,1.73,2.59,B023
3803,COD_F249AD667C,caciucco f.merl,SURGELATI,SURGELATO SPECIALITÀ,SURGELATI PIATTI PRONTI,10,8.0,PZ,4.09,5.69,B097
3804,COD_9BE815F19F,fish strips pan,SURGELATI,SURGELATO PESCE,SURG. PESCE PREPARATO PANATO,10,8.0,PZ,2.7,4.89,B097
3806,COD_518835DE7B,stracchino 100g,FRESCHI,FORMAGGI BLS,CRESCENZA,04,6.0,PZ,0.29,0.89,B149
3807,COD_DAC4CDD4D2,spalmabile 250g,FRESCHI,FORMAGGI BLS,FRESCHI INDUSTRIALI,04,6.0,PZ,1.65,2.49,B149
3808,COD_9217F79E40,bel paese a fet,GASTRONOMIA,FORMAGGI TAKE AWAY,ALTRI FORMAGGI TAKE AWAY,04,14.0,PZ,2.04,2.99,B040
3810,COD_9E2BEB9872,energy 25cl win,BEVANDE,BEVANDE GASSATE,ENERGY DRINK,22,24.0,PZ,0.41,0.89,B061
3819,COD_1A0961E5A2,prestige t28,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,PRALINE E CIOCCOLATINI,10,4.0,PZ,9.31,14.29,B023
3827,COD_DC2BB77A2A,pizza gran gust,SURGELATI,SURGELATO SPECIALITÀ,SURGELATI PIZZE,10,5.0,PZ,2.37,4.19,B019
3828,COD_C6B205D2BC,pizza gran gust,SURGELATI,SURGELATO SPECIALITÀ,SURGELATI PIZZE,10,5.0,PZ,2.97,4.79,B019
3831,COD_9F9A3AC312,noodles 65g ter,SCATOLAME SALATO,PREPARATI E PIATTI PRONTI,PREP PRIMI PIATTI,10,8.0,PZ,0.06,0.59,B052
3834,COD_4E67D1B767,broccoli primav,SURGELATI,SURGELATO VERDURE,SURG. VEGETALI NATURALI/FRUTTA,04,10.0,PZ,2.36,2.79,B097
3835,COD_23F60A3F83,cordon bleu 200,SURGELATI,SURGELATO CARNE,SURGELATI CARNE,10,12.0,PZ,3.46,4.89,B097
3836,COD_CC24EE3FAC,patatine classi,SURGELATI,SURGELATO VERDURE,SURG. VEGETALI NATURALI/FRUTTA,04,12.0,PZ,1.38,2.09,B097
3837,COD_2B9115F1FA,sofficini 250g ,SURGELATI,SURGELATO SPECIALITÀ,SURG. SPECIALITA' SALATE,10,18.0,PZ,1.3,2.09,B097
3838,COD_57897AA618,minestron.tradi,SURGELATI,SURGELATO VERDURE,SURG. VEGETALI NATURALI/FRUTTA,10,12.0,PZ,2.32,3.39,B097
3839,COD_833B1F47A3,tav. latte bisc,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,24.0,PZ,1.08,1.79,B033
3842,COD_7D813FE268,filetti di plat,SURGELATI,SURGELATO PESCE,SURG. PESCE PREPARATO PANATO,10,9.0,PZ,4.59,6.29,B097
3854,COD_38D56860F0,"milk trio 124,5",SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,24.0,PZ,3.39,4.19,B029
3883,COD_1AEA0E9192,"white trio 124,",SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,24.0,PZ,2.22,3.29,B029
3884,COD_32C670D7AB,family milk 8x2,SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,20.0,PZ,2.02,3.19,B029
3885,COD_08EE242FD0,"dark trio 124,5",SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,24.0,PZ,2.99,4.19,B029
3887,COD_14E4FE7723,baci tubino cry,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,PRALINE E CIOCCOLATINI,10,21.0,PZ,2.34,2.89,B028
3899,COD_82311DCD04,tav. salted car,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,15.0,PZ,2.6,3.29,B029
3900,COD_DD4BE561EC,tav. doppio cio,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,15.0,PZ,1.8,2.49,B029
3901,COD_A33DBC1B68,tav. hazelnut ',SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,15.0,PZ,1.49,2.19,B029
3909,COD_683E4DAC70,da bere pod.cit,FRESCHI,LATTE E PANNA FRESCA,KEFIR,10,6.0,PZ,0.24,0.99,B150
3910,COD_44C2C185BF,da bere pod.cit,FRESCHI,LATTE E PANNA FRESCA,KEFIR,10,6.0,PZ,0.47,1.19,B150
3911,COD_DF401C62F1,cremoso pod.cit,FRESCHI,LATTE E PANNA FRESCA,KEFIR,10,9.0,PZ,1.04,1.49,B150
3915,COD_7F5B239300,minitower dark ,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,8.0,PZ,2.86,4.09,B034
3916,COD_A858396115,sport arachidi ,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,11.0,PZ,1.05,1.89,B034
3917,COD_84B36A51C0,sport protein h,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,12.0,PZ,1.41,2.49,B034
3918,COD_BB444BBEBA,sport protein p,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,12.0,PZ,2.11,3.19,B034
3938,COD_95CF29C804,pausa pranzo al,FRUTTA E VERDURA,TERZA E QUARTA GAMMA,VERDURA IN FOGLIA DI QUARTA,04,6.0,PZ,2.54,3.39,B138
3940,COD_4A7ED989AF,pausa pranzo bi,FRUTTA E VERDURA,TERZA E QUARTA GAMMA,VERDURA IN FOGLIA DI QUARTA,04,6.0,PZ,1.64,2.49,B138
3941,COD_96EBB0720C,pausa pranzo ca,FRUTTA E VERDURA,TERZA E QUARTA GAMMA,VERDURA IN FOGLIA DI QUARTA,04,6.0,PZ,1.94,2.79,B138
3942,COD_F2056FBDBB,pausa pranzo gr,FRUTTA E VERDURA,TERZA E QUARTA GAMMA,VERDURA IN FOGLIA DI QUARTA,04,6.0,PZ,1.84,2.69,B138
3943,COD_9E4ECD40D5,pausa pranzo no,FRUTTA E VERDURA,TERZA E QUARTA GAMMA,VERDURA IN FOGLIA DI QUARTA,04,6.0,PZ,1.86,2.79,B138
3944,COD_BD1C1DE656,pausa pranzo ol,FRUTTA E VERDURA,TERZA E QUARTA GAMMA,VERDURA IN FOGLIA DI QUARTA,04,6.0,PZ,1.44,2.29,B138
3945,COD_44F073A0BF,pausa pranzo ri,FRUTTA E VERDURA,TERZA E QUARTA GAMMA,VERDURA IN FOGLIA DI QUARTA,04,6.0,PZ,1.84,2.69,B138
4064,COD_F874D89804,biscotti 800g m,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI INTEGRALI/MULTICEREALI,10,12.0,PZ,3.52,4.19,B012
4065,COD_6C2C94CE0F,pappardelle uov,SCATOLAME SALATO,PASTA,PASTA ALL'UOVO I,04,12.0,PZ,2.77,3.19,B001
4071,COD_378445AF9D,prepar.torta cu,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,PREPARATI PER TORTE,10,7.0,PZ,3.41,4.69,B019
4085,COD_03850C7A3D,mini tortiglion,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,28.0,PZ,0.7,1.19,B001
4086,COD_88C0538F3C,mini penne riga,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,28.0,PZ,0.39,0.89,B001
4087,COD_01F2E8FDEB,mini farfalle 6,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.09,0.59,B001
4097,COD_F1AC9FBCF6,gran ragu 180gx,SCATOLAME SALATO,SUGHI SALSE E CONDIMENTI,SUGHI PRONTI E BASE,10,12.0,PZ,1.38,2.39,B051
4099,COD_91450CBA63,dado classico 1,SCATOLAME SALATO,INSAPORITORI,PREPARATI PER BRODO E GELATINE,10,48.0,PZ,1.48,1.95,B051
4124,COD_CEA1AF59EE,det.liq.buc. 75,CURA CASA,DETERGENZA BUCATO,BUCATO A MANO,22,12.0,PZ,1.8,2.69,B089
4136,COD_434D57289E,caffe 1kg crem&,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' IN GRANI,22,6.0,PZ,12.91,17.29,B076
4143,COD_6702396B8A,dadi 30 cubi,SCATOLAME SALATO,INSAPORITORI,PREPARATI PER BRODO E GELATINE,10,16.0,PZ,2.94,4.19,B051
4146,COD_DE9C3E1E01,fette biscottat,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,FETTE BISCOTTATE,04,12.0,PZ,1.68,2.09,B017
4150,COD_55D7B1A264,bevanda magnum ,BEVANDE,SUCCHI NETTARI E SPREMUTE,BEVANDE BASE FRUTTA 30-99%,22,6.0,PZ,0.35,1.09,B085
4155,COD_0DB72D5185,caffe' brt gr.2,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,12.0,PZ,4.34,6.99,B077
4169,COD_6AB790918A,energy light 25,BEVANDE,BEVANDE GASSATE,ENERGY DRINK,22,24.0,PZ,1.65,1.99,B060
4171,COD_BFB40EF653,polpa di pomodo,SCATOLAME SALATO,DERIVATI DEL POMODORO,POLPA DI POMODORO,04,12.0,PZ,0.77,1.09,B050
4174,COD_F74383A7ED,birra zero 33cl,BEVANDE,BIRRE,BIRRE ANALCOLICHE/S GLUTINE,22,8.0,PZ,1.18,2.29,B111
4177,COD_511916648D,condisoia 200g,FRESCHI,LATTICINI UHT - PANNA E BESCIAMELLA,PANNA UHT,10,24.0,PZ,0.54,0.99,B043
4179,COD_982FD516CA,"bibita zero 1,5",BEVANDE,BEVANDE GASSATE,ALTRE BEVANDE GASSATE,22,6.0,PZ,0.83,1.39,B059
4182,COD_C96A4873AA,bibita cola 50 ,BEVANDE,BEVANDE GASSATE,COLA,22,12.0,PZ,0.04,0.29,B057
4183,COD_A7CBDD0051,insaporitore ar,SCATOLAME SALATO,INSAPORITORI,AROMI E SPEZIE,10,12.0,PZ,1.96,2.69,B052
4185,COD_38E3402D93,detergente vetr,CURA CASA,DETERGENTI SUPERFICI,PULITORI VETRO+  MULTIUSO,22,12.0,PZ,2.2,2.99,B119
4186,COD_6343EBA0AE,deod.pearl&beau,CURA PERSONA,IGIENE PERSONALE,DEODORANTI ANTIODORE PERSONALE,22,6.0,PZ,1.36,2.65,B123
4187,COD_C0D7AC58ED,deod.pearl&beau,CURA PERSONA,IGIENE PERSONALE,DEODORANTI ANTIODORE PERSONALE,22,6.0,PZ,1.13,2.19,B123
4194,COD_AE05033D8A,insalatissime 1,SCATOLAME SALATO,CONSERVE ANIMALI,TONNO RICETTATO E CON CONTORNO,10,36.0,PZ,1.21,1.89,B045
4195,COD_AE5A08A214,insalatissime 1,SCATOLAME SALATO,CONSERVE ANIMALI,TONNO RICETTATO E CON CONTORNO,10,36.0,PZ,1.7,2.29,B045
4196,COD_CE80927174,insalatissime 1,SCATOLAME SALATO,CONSERVE ANIMALI,TONNO RICETTATO E CON CONTORNO,10,36.0,PZ,1.48,2.09,B045
4199,COD_2703DF1368,acqua minerale ,BEVANDE,ACQUA,ACQUA NON GASSATA,22,24.0,PZ,0.55,0.79,B066
4209,COD_577F2C95E7,energy 250ml x4,BEVANDE,BEVANDE GASSATE,ENERGY DRINK,22,6.0,PZ,4.0,5.89,B060
4210,COD_C981A07977,petto di tacchi,GASTRONOMIA,SALUMI,ALTRI SALUMI COTTI,10,2.0,KG,8.69,20.5,B133
4212,COD_141DA8918B,orzoro ' 180g o,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE CACAO/LATT/ORZO,ORZO E SOSTITUTI CAFFE',10,15.0,PZ,1.39,2.19,B029
4213,COD_7E332230CC,salamini 85g cl,FRESCHI,SALUMI BLS,SALUMI INTERI/TRANCI,10,12.0,PZ,0.94,2.19,B144
4214,COD_E483542821,passata pomodor,SCATOLAME SALATO,DERIVATI DEL POMODORO,PASSATA DI POMODORO,04,12.0,PZ,1.6,1.85,B007
4215,COD_CB81A7B3FB,pomodori pelati,SCATOLAME SALATO,DERIVATI DEL POMODORO,PELATI E POMODORINI,04,24.0,PZ,0.72,0.92,B007
4216,COD_AF2761CEDA,pelati 800g,SCATOLAME SALATO,DERIVATI DEL POMODORO,PELATI E POMODORINI,04,12.0,PZ,1.36,1.59,B007
4217,COD_A1AA56F9C2,polpa cubett. d,SCATOLAME SALATO,DERIVATI DEL POMODORO,POLPA DI POMODORO,04,8.0,PZ,1.96,2.59,B007
4218,COD_5772C10CB0,farina 00 1kg,SCATOLAME SALATO,INGREDIENTI  BASE - FARINE,FARINE/ MISCELE,04,10.0,PZ,-0.26,-0.01,B007
4219,COD_E827845C66,semola 1kg rima,SCATOLAME SALATO,INGREDIENTI  BASE - FARINE,SEMOLA,04,10.0,PZ,1.39,1.69,B007
4220,COD_E45D9DE67E,semola 500g gra,SCATOLAME SALATO,INGREDIENTI  BASE - FARINE,SEMOLA,04,24.0,PZ,0.17,0.39,B007
4223,COD_A112AE8103,frollini grotto,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI TRADIZIONALI,10,18.0,PZ,1.85,2.29,B007
4229,COD_33A88F14A0,caffe' dek 250g,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,20.0,PZ,2.33,3.69,B076
4236,COD_3EB5F4742D,linguine 7 500g,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.44,0.89,B005
4237,COD_B78A801D46,spaghettini 11 ,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.24,0.69,B005
4238,COD_0C0E67AD04,spaghetti 12 50,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.35,0.79,B005
4239,COD_4CD1DC2891,bucatini 15 500,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.66,1.09,B005
4240,COD_F91D4DFA6C,vermicelli 170 ,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.65,1.09,B005
4241,COD_5A3DB39116,tortiglioni 23 ,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.25,0.69,B005
4242,COD_D4D19B9F92,rigatoni 24 500,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.65,1.09,B005
4243,COD_B1AC06168F,mezzi rigatoni ,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.75,1.19,B005
4244,COD_69D45890B1,fusilli 34 500g,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.25,0.69,B005
4245,COD_555DDE1E72,penne lisce 40 ,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.75,1.19,B005
4246,COD_F66023D5A4,penne rigate 41,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.85,2.29,B005
4247,COD_F326520965,sedani rigati 5,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.25,0.69,B005
4248,COD_466C13C1FC,gnocchetti sard,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.65,2.09,B006
4249,COD_3D54413C20,casareccia 88 5,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.65,2.09,B005
4250,COD_23F0E012A6,penne piccole r,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.85,2.29,B005
4251,COD_FBD417685C,penne mezzane r,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.76,2.19,B005
4252,COD_99078BC308,zita 18 500g,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.64,2.09,B005
4253,COD_8A11759A18,zitone 19 500g,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.74,2.19,B005
4254,COD_12B4E1FD4D,orecchiette 91 ,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.44,1.89,B005
4255,COD_F4D01FFD15,farfalle 93 500,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,1.54,1.99,B005
4256,COD_2DEDEAC91E,tagliatelle 203,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,8.0,PZ,1.2,1.79,B005
4257,COD_CF4501EDC9,fettuccine 233 ,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,8.0,PZ,1.96,2.59,B005
4258,COD_A78CB51ECB,rigatoni napole,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,12.0,PZ,0.86,1.49,B005
4259,COD_A44F65BD27,paccheri 125 sp,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,12.0,PZ,1.0,1.59,B005
4260,COD_94078E4853,conchiglioni ri,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,12.0,PZ,2.09,2.69,B005
4262,COD_E0BD5BAC7A,cous cous 500g,SCATOLAME SALATO,PREPARATI E PIATTI PRONTI,PREP PRIMI PIATTI,04,12.0,PZ,2.1,2.89,B001
4263,COD_CC0BF502E7,lasagna timball,SCATOLAME SALATO,PASTA,PASTA ALL'UOVO I,04,12.0,PZ,1.89,2.59,B005
4264,COD_063641C0A9,semola 1kg gran,SCATOLAME SALATO,INGREDIENTI  BASE - FARINE,SEMOLA,04,10.0,PZ,1.1,1.59,B005
4265,COD_8345F169E4,passata di pomo,SCATOLAME SALATO,DERIVATI DEL POMODORO,PASSATA DI POMODORO,04,12.0,PZ,1.73,1.89,B005
4273,COD_CA14E5027C,dado classico 1,SCATOLAME SALATO,INSAPORITORI,PREPARATI PER BRODO E GELATINE,10,48.0,PZ,0.98,1.49,B051
4281,COD_665F5A935F,piadelle sfogli,SCATOLAME SALATO,PANE E SOSTITUTIVI: PANINI E SPECIALITA',SPECIALITA' SOSTITUTIVI PANE,04,12.0,PZ,2.6,2.99,B012
4282,COD_A14F158069,bibita bipack 1,BEVANDE,BEVANDE GASSATE,ARANCIATA,22,3.0,PZ,2.33,3.39,B058
4284,COD_B4D1F4FACA,caffe' 126g dec,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,8.0,PZ,2.91,4.59,B078
4285,COD_E2F9D39872,caffe' 126g esp,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,8.0,PZ,2.54,4.29,B078
4292,COD_FA76351F1D,dado vegetale 1,SCATOLAME SALATO,INSAPORITORI,PREPARATI PER BRODO E GELATINE,10,48.0,PZ,0.08,0.59,B051
4297,COD_DAF2626A8B,biscotto 250g z,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI TRADIZIONALI,10,24.0,PZ,-0.06,0.2,B016
4310,COD_450CA212A6,passata di pomo,SCATOLAME SALATO,DERIVATI DEL POMODORO,PASSATA DI POMODORO,04,12.0,PZ,1.23,1.55,B050
4311,COD_2219EEAAA0,pomodorini 400g,SCATOLAME SALATO,DERIVATI DEL POMODORO,PELATI E POMODORINI,04,24.0,PZ,0.52,0.7,B050
4316,COD_61A0940F76,pan goccioli 33,SCATOLAME DOLCE,PRODOTTI DA FORNO: MERENDINE E CEREALI,MERENDINE,10,12.0,PZ,3.0,3.95,B012
4320,COD_D7DA6BAFDE,cornetto 300g c,SCATOLAME DOLCE,PRODOTTI DA FORNO: MERENDINE E CEREALI,MERENDINE,10,8.0,PZ,2.77,3.99,B012
4321,COD_5A434ED14D,spinaci filanti,SURGELATI,SURGELATO SPECIALITÀ,SURGELATI PIATTI PRONTI,10,9.0,PZ,2.78,4.39,B097
4326,COD_7A84351EA0,spinaci cubello,SURGELATI,SURGELATO VERDURE,SURG. VEGETALI NATURALI/FRUTTA,04,12.0,PZ,1.68,2.69,B098
4331,COD_5B3C2968AB,tonno o.o. 80gx,SCATOLAME SALATO,CONSERVE ANIMALI,TONNO SOTT'OLIO,10,18.0,PZ,6.6,8.09,B045
4333,COD_B9652BC7FC,"latte 0,1% uht ",FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,6.0,PZ,0.9,1.25,B146
4334,COD_B723BA63DC,latte intero 1l,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,6.0,PZ,2.4,2.79,B146
4335,COD_E6067C4E11,yogurt mix 150g,FRESCHI,YOGURT,YOGURT BICOMPARTIMENTALE,10,12.0,PZ,0.95,1.45,B154
4336,COD_99EE2E8551,yogurt mix 150g,FRESCHI,YOGURT,YOGURT BICOMPARTIMENTALE,10,12.0,PZ,-0.04,0.45,B154
4345,COD_F508021CCC,latte intero uh,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,6.0,PZ,0.83,1.29,B036
4350,COD_0A09428D62,yogurtino 200g ,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,0.46,1.19,B155
4355,COD_24EBC4AC4C,bibita 1lt pet,BEVANDE,BEVANDE GASSATE,COLA,22,6.0,PZ,1.44,1.99,B054
4359,COD_FF7775D8E4,caffe 1kg crema,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' IN GRANI,22,6.0,PZ,12.46,19.1,B076
4363,COD_A3F4729A03,bibita zero 1l ,BEVANDE,BEVANDE GASSATE,COLA,22,6.0,PZ,0.54,1.09,B054
4372,COD_C03CC6F11C,ricottina 90gx2,FRESCHI,FORMAGGI BLS,FORMAGGI RICOTTA,04,6.0,PZ,0.68,1.15,B149
4376,COD_02DFD990E2,fettuccine ricc,SCATOLAME SALATO,PASTA,PASTA ALL'UOVO I,04,20.0,PZ,1.69,2.19,B001
4377,COD_36681223AF,lasagne le sott,SCATOLAME SALATO,PASTA,PASTA ALL'UOVO I,04,12.0,PZ,3.29,3.99,B001
4382,COD_C2CFC1ACC3,zucchine a fett,SURGELATI,SURGELATO VERDURE,SURG. VEGETALI NATURALI/FRUTTA,04,8.0,PZ,2.0,2.69,B098
4383,COD_4A25A93C3A,cioccolato 100g,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,20.0,PZ,1.16,1.79,B033
4384,COD_FC3905D7D7,cioccolato 100g,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,22.0,PZ,2.32,2.99,B033
